ts_utc,btc_price,bull_score,phase_label,ret_7d,ret_30d,ema20,ema50,ema200,ema20_gt_ema50,ema50_gt_ema200,price_gt_ema200,fr_current,fr_state,cb_premium,cb_state,oi_change_24h,vol_ratio,drawdown_90d
2026-07-03T16:13:39.127261+00:00,61923.2,-7,強弱気,0.03152038113641287,-0.03441135194136913,62178.39962537504,65792.27233081993,76010.92368884009,False,False,False,0.01,hot,-0.0010879605705130767,cold,0.027499862154100274,0.6268040312883386,-0.2463729311924875
2026-07-04T06:00:52.217224+00:00,62474.4,-7,強弱気,0.03183312137678174,-0.022092546387460166,62280.06478252686,65692.79223063598,75795.01613857098,False,False,False,0.01,hot,-0.0009924064896981804,cold,0.0028770942116063125,0.6711969966129894,-0.2396646338123989
2026-07-04T12:05:38.066683+00:00,62569.2,-7,強弱気,0.032931403365117795,-0.020608648557269515,62289.09335395543,65696.5098776948,75795.95942215307,False,False,False,0.01,hot,-0.001244062573918102,cold,-0.019862649361744977,0.6854930170337264,-0.23851088455326896
2026-07-04T15:07:28.311408+00:00,62713.3,-7,強弱気,0.031350009045011396,-0.018353061243656654,62302.81716347924,65702.16085808697,75797.39325299884,False,False,False,0.01,hot,-0.0010600622196568065,cold,-0.014745154019611628,0.6205307589125764,-0.23675713699798817
2026-07-05T00:08:52.996745+00:00,63046.7,-7,強弱気,0.04707343848349921,0.03375412580487014,62430.71225510269,65629.3925374068,75592.34478116581,False,False,False,0.009533,hot,-0.0009626197723274184,cold,0.0032176774763077454,0.5690568279563524,-0.23269954202969811
2026-07-05T17:06:58.007109+00:00,62719.2,-7,強弱気,0.052040787229081786,0.028384225775192284,62399.52177891221,65616.54940015191,75589.08607469815,False,False,False,0.008608,hot,-0.0011352185614611969,cold,-0.023541960953463392,0.2645097181955251,-0.2366853319280635
2026-07-05T22:04:27.257905+00:00,63090.3,-7,強弱気,0.05911829534638158,0.03446901936607305,62434.86463605507,65631.10234132838,75592.77861201158,False,False,False,0.008608,hot,-0.0016500159295486916,cold,-0.018695177919260564,0.23012732773254357,-0.23216891473330492
2026-07-06T01:14:22.187950+00:00,63837.0,-7,強弱気,0.06831227512342064,0.0483970300590737,62630.611264171355,65598.38821848891,75407.99337546207,False,False,False,0.0077,hot,-0.0018978022150163926,cold,0.00428304329360607,0.30705636325441865,-0.22308131376503182
2026-07-06T22:02:34.494383+00:00,64414.7,-6,強弱気,0.06951595523005105,0.05788461506878795,62685.6303117904,65621.04312044969,75413.74163416855,False,False,False,0.01,hot,-0.0008148761074723311,cold,-0.016238026064816946,1.4367725296680252,-0.21605050208782361
2026-07-07T19:03:38.349426+00:00,63751.0,-7,強弱気,0.08491842392330984,0.006863940464082008,62763.91651226669,65554.90677988186,75227.1176470461,False,False,False,0.006825,hot,-0.002611096296528668,cold,-0.03129676684743998,1.2832740735516475,-0.22412796393681633
2026-07-07T22:13:38.502248+00:00,63424.8,-5,強弱気,0.0819596624377561,0.0017120366919154417,62732.84984560002,65542.11462301911,75223.87187590184,False,False,False,0.006825,hot,-0.00027481363756764375,neutral,-0.04158014555859468,0.7695480816053345,-0.2280979323790966
